age,gender,occupation,daily_screen_time_hours,phone_usage_before_sleep_minutes,sleep_duration_hours,sleep_quality_score,stress_level,caffeine_intake_cups,physical_activity_minutes,mental_fatigue_score,screen_time_group,sleep_group,caffeine_group,age_group
19,Male,Doctor,1.49,36,8.83,7.93,2.64,3,5,1.88,Low,High,High,Under 30
38,Female,Freelancer,4.95,113,8.97,4.85,8.99,0,47,9.36,Medium,High,None,30-50
50,Female,Software Engineer,1.54,22,7.17,9.57,1,1,87,1,Low,Medium,Low,30-50
29,Male,Researcher,2.57,54,6.46,6.38,4.73,2,99,3.29,Low,Medium,Low,Under 30
39,Female,Designer,7.55,18,4.89,6.15,8.95,4,80,9.25,High,Low,High,30-50
42,Female,Student,5.32,66,5.04,5.6,6.95,2,27,6.83,Medium,Low,Low,30-50
44,Male,Freelancer,5.34,87,6.15,3.71,10,2,109,8.86,Medium,Medium,Low,30-50
59,Female,Student,6.38,22,7.51,6.23,7.26,3,98,8.9,High,Medium,High,50+
45,Male,Designer,8.1,3,7.85,6.87,9.62,4,65,8.74,High,Medium,High,30-50
33,Female,Doctor,2.43,17,5.11,8.77,1,2,38,1.53,Low,Low,Low,30-50
32,Female,Manager,2.56,11,6.68,7.34,4.48,3,84,4.71,Low,Medium,High,30-50
20,Male,Designer,2.09,34,6.96,8.54,4.18,0,40,4.27,Low,Medium,None,Under 30
54,Male,Student,9.43,26,8.47,3.12,10,3,115,9.7,High,High,High,50+
24,Other,Software Engineer,6.2,42,8.38,8.36,5.59,3,2,7.25,High,High,High,Under 30
38,Female,Doctor,1.83,77,8.09,7.94,2.37,0,70,1.45,Low,High,None,30-50
26,Female,Researcher,2.99,94,6.58,7.57,4.56,4,0,4.96,Low,Medium,High,Under 30
56,Male,Designer,7.53,66,4.33,6.57,8.33,4,48,9.11,High,Low,High,50+
35,Male,Freelancer,1.26,68,5.67,8.39,1.5,4,109,1,Low,Low,High,30-50
21,Male,Software Engineer,7.53,63,7.11,5.33,10,1,34,10,High,Medium,Low,Under 30
42,Male,Researcher,9.2,92,7.19,2.99,10,2,34,8.11,High,Medium,Low,30-50
31,Female,Designer,1.51,102,8.25,5.44,7.76,3,48,8.22,Low,High,High,30-50
26,Female,Doctor,2.68,51,5.9,7.08,3.92,1,61,3.39,Low,Low,Low,Under 30
43,Female,Student,1.02,16,8.68,9.37,1,2,15,1,Low,High,Low,30-50
19,Male,Manager,1.98,82,4.82,7.73,1.91,3,64,1.31,Low,Low,High,Under 30
37,Female,Freelancer,6.55,98,4.25,5.36,6.51,4,1,9.02,High,Low,High,30-50
45,Female,Manager,1.4,32,4.88,7.55,4.85,0,1,4.72,Low,Low,None,30-50
24,Female,Doctor,4.83,71,6.31,5.72,6.43,1,66,5.68,Medium,Medium,Low,Under 30
25,Female,Researcher,5.53,51,8.11,7.31,6.43,0,58,6.44,Medium,High,None,Under 30
52,Other,Researcher,9.16,100,4.77,3.95,10,4,41,8.9,High,Low,High,50+
31,Female,Teacher,5.27,34,6.74,5.41,9.21,2,98,8.57,Medium,Medium,Low,30-50
34,Male,Manager,2.28,19,7.88,9.68,1.53,0,31,2.08,Low,Medium,None,30-50
53,Male,Designer,3.6,80,4.17,8.47,4.19,0,15,4.41,Medium,Low,None,50+
57,Other,Software Engineer,7.05,44,4.21,4.78,9.74,2,108,10,High,Low,Low,50+
21,Female,Software Engineer,2.01,76,6.45,7.69,4.65,1,48,5.48,Low,Medium,Low,Under 30
19,Male,Freelancer,3.09,67,4.91,7.12,6.38,1,52,5.57,Medium,Low,Low,Under 30
23,Male,Manager,9.96,49,6.25,3.07,10,3,65,8.86,High,Medium,High,Under 30
59,Female,Doctor,1.05,57,4.22,8.49,3,3,36,3.65,Low,Low,High,50+
21,Other,Freelancer,2.37,29,8.88,8.71,2.43,4,52,1.72,Low,High,High,Under 30
46,Male,Doctor,8.59,69,7.27,4.77,10,2,50,10,High,Medium,Low,30-50
35,Female,Doctor,1.91,1,7.43,10,1,2,75,1.7,Low,Medium,Low,30-50
43,Female,Software Engineer,1.3,78,6.55,7.06,3.94,3,65,3.39,Low,Medium,High,30-50
51,Male,Student,2.09,33,8.12,7.27,3.83,1,87,3.83,Low,High,Low,50+
27,Male,Software Engineer,7.24,51,8.17,6.62,9.1,1,1,8.88,High,High,Low,Under 30
53,Female,Student,9.94,83,4.8,4.61,10,3,1,8.95,High,Low,High,50+
31,Female,Freelancer,6.32,15,7.84,4.45,9.38,2,28,10,High,Medium,Low,30-50
48,Female,Freelancer,2.12,42,6.83,7.36,4.44,0,65,4.97,Low,Medium,None,30-50
32,Female,Freelancer,2.65,63,7.81,5.83,6.45,0,14,7.11,Low,Medium,None,30-50
25,Male,Doctor,5.84,112,8.59,6.22,6.97,4,105,7.96,Medium,High,High,Under 30
31,Female,Researcher,7.44,92,5.68,5.68,9.92,1,101,10,High,Low,Low,30-50
40,Male,Teacher,6.97,26,6.85,6.03,10,2,114,10,High,Medium,Low,30-50
57,Male,Software Engineer,6.17,118,7.94,6.07,8.04,1,44,8.05,High,Medium,Low,50+
38,Male,Researcher,9.88,64,8.93,4.67,10,0,84,10,High,High,None,30-50
33,Male,Doctor,2.78,12,7.06,8.78,3.19,2,82,4.12,Low,Medium,Low,30-50
35,Female,Software Engineer,2.56,39,7.61,7.56,4.87,3,79,5.18,Low,Medium,High,30-50
41,Female,Doctor,8.73,31,8.23,3.68,10,0,70,10,High,High,None,30-50
43,Female,Software Engineer,3.62,66,7.76,6.81,6.02,0,28,6.53,Medium,Medium,None,30-50
42,Male,Designer,3.99,13,8.71,7.77,4.32,2,82,3.92,Medium,High,Low,30-50
58,Female,Software Engineer,5.94,119,5.15,5.61,9.2,1,32,8.96,Medium,Low,Low,50+
46,Female,Designer,4.43,119,8.54,6,7.39,0,87,8.79,Medium,High,None,30-50
32,Female,Researcher,3.59,57,5.04,7.2,5.67,4,50,5.69,Medium,Low,High,30-50
18,Female,Student,9.25,91,6.83,4.13,10,0,112,10,High,Medium,None,Under 30
42,Male,Software Engineer,2.16,45,6.61,7.16,4.26,1,82,3.81,Low,Medium,Low,30-50
24,Male,Student,4.64,89,8.16,5.68,7.51,3,4,8.48,Medium,High,High,Under 30
26,Male,Teacher,1.03,84,5.99,8.91,2.71,0,36,2.9,Low,Low,None,Under 30
41,Female,Manager,8.27,109,4.72,3.61,10,2,88,10,High,Low,Low,30-50
18,Other,Manager,2.52,114,7.53,6.58,5.06,1,2,3.93,Low,Medium,Low,Under 30
25,Male,Designer,7.96,74,7.03,5.31,9.51,0,91,10,High,Medium,None,Under 30
41,Male,Researcher,2.34,90,8.14,6.57,3.26,3,89,3.72,Low,High,High,30-50
28,Male,Researcher,4.75,107,7.79,5.36,8.04,2,10,6.42,Medium,Medium,Low,Under 30
34,Female,Software Engineer,7.55,58,8.47,3.5,10,4,10,9.55,High,High,High,30-50
25,Male,Manager,3.44,64,8.2,8.3,4.38,0,6,4.97,Medium,High,None,Under 30
52,Male,Student,3.83,32,7.43,8.8,2.74,0,89,1.14,Medium,Medium,None,50+
52,Male,Manager,7.01,45,6.33,6.68,9.17,1,110,9.75,High,Medium,Low,50+
50,Female,Manager,2.69,81,4.1,7.48,5.46,3,67,5.83,Low,Low,High,30-50
22,Female,Doctor,9.57,53,5.54,3.15,10,1,18,10,High,Low,Low,Under 30
59,Female,Manager,2.7,65,7.64,7.08,5,4,33,5.42,Low,Medium,High,50+
56,Male,Student,7.75,3,4.3,5.19,9.21,4,9,7.27,High,Low,High,50+
58,Male,Manager,8.22,53,7.78,4.2,10,0,1,10,High,Medium,None,50+
45,Male,Software Engineer,4.37,113,6.58,5.54,8.33,4,70,7.21,Medium,Medium,High,30-50
24,Male,Manager,2.41,3,8.34,8.31,3.28,2,107,3.25,Low,High,Low,Under 30
26,Male,Teacher,2.49,118,7.3,7.86,2.57,0,34,1.63,Low,Medium,None,Under 30
25,Male,Manager,9.87,16,7.99,4.84,10,2,31,9.87,High,Medium,Low,Under 30
29,Female,Designer,7.53,111,4.86,5.73,9.16,4,14,9.44,High,Low,High,Under 30
51,Male,Researcher,5.05,79,4.86,5.43,8.59,1,11,7.23,Medium,Low,Low,50+
50,Male,Doctor,3.32,72,5.06,7.51,4.53,0,62,5.48,Medium,Low,None,30-50
40,Female,Freelancer,1.17,89,5.67,7.7,1,1,110,1.89,Low,Low,Low,30-50
41,Female,Student,7.03,73,8.52,5.77,7.95,0,107,7.49,High,High,None,30-50
54,Female,Researcher,9.61,70,7.87,4.87,10,1,76,9.78,High,Medium,Low,50+
52,Female,Researcher,1.96,72,5.82,8.95,1.49,3,42,2.59,Low,Low,High,50+
57,Male,Manager,7.79,54,8.59,4.85,9.32,0,71,9.45,High,High,None,50+
39,Female,Manager,2.38,47,7.89,8.02,4.21,0,102,2.53,Low,Medium,None,30-50
44,Female,Software Engineer,8.13,90,7.28,5.36,10,2,84,10,High,Medium,Low,30-50
52,Male,Freelancer,4.34,95,6.18,8.14,3.61,3,26,4.41,Medium,Medium,High,50+
18,Male,Software Engineer,7.41,48,7.26,5.58,10,1,54,10,High,Medium,Low,Under 30
52,Female,Designer,9.34,22,6.97,4.78,10,3,80,8.74,High,Medium,High,50+
54,Male,Freelancer,6.58,26,7.91,6.17,8.59,1,74,8.36,High,Medium,Low,50+
31,Male,Researcher,9.29,24,5.13,2.97,10,0,71,9.33,High,Low,None,30-50
20,Male,Doctor,3.12,92,8.43,7.22,4.68,2,31,5.4,Medium,High,Low,Under 30
18,Male,Student,9.8,23,6.96,4.08,10,1,9,10,High,Medium,Low,Under 30
22,Male,Student,8.86,79,8.03,3.13,10,0,34,10,High,High,None,Under 30
43,Male,Researcher,1.97,79,5.74,8.26,3.9,4,118,3.51,Low,Low,High,30-50
31,Male,Student,4.72,91,5.96,6.05,7.01,4,91,7.48,Medium,Low,High,30-50
56,Male,Designer,9.34,19,8.69,5.88,10,4,95,10,High,High,High,50+
44,Female,Designer,1.7,52,7.11,8.25,1.44,0,3,2.7,Low,Medium,None,30-50
26,Male,Manager,5.08,82,5.59,4.89,7.36,0,113,8.09,Medium,Low,None,Under 30
32,Female,Doctor,7.51,73,4.41,5.19,10,1,90,10,High,Low,Low,30-50
32,Female,Student,1.3,25,6.17,7.01,2.72,2,115,2.38,Low,Medium,Low,30-50
43,Female,Student,7.78,59,8.25,5.9,9.21,1,38,9.12,High,High,Low,30-50
59,Female,Manager,4.25,1,5.26,9.24,2.96,3,42,3.84,Medium,Low,High,50+
30,Male,Doctor,3.24,2,8.3,8.06,3.8,0,17,3.03,Medium,High,None,30-50
49,Male,Freelancer,6.18,102,4.81,5.41,8.14,0,31,8.15,High,Low,None,30-50
56,Female,Doctor,5.9,55,4.65,7.47,5.21,2,68,6.4,Medium,Low,Low,50+
49,Male,Doctor,8.87,65,7.03,4.47,10,1,117,7.86,High,Medium,Low,30-50
21,Female,Researcher,7.08,24,8.02,4.35,10,1,100,9.52,High,High,Low,Under 30
47,Female,Software Engineer,4.8,108,7.9,7.21,4.54,0,27,4.23,Medium,Medium,None,30-50
54,Male,Doctor,6.85,67,6.72,4.95,10,4,38,10,High,Medium,High,50+
40,Female,Teacher,7.75,14,7.19,5.66,8.53,1,76,9.36,High,Medium,Low,30-50
56,Female,Designer,9.44,81,5.29,5.53,10,3,85,9.06,High,Low,High,50+
32,Male,Doctor,7.34,6,6.76,8.69,5.23,4,26,4.41,High,Medium,High,30-50
46,Male,Software Engineer,5.89,90,5.04,4.83,9.99,4,52,10,Medium,Low,High,30-50
53,Female,Researcher,4.36,81,8.64,7.46,5.3,1,8,4.45,Medium,High,Low,50+
30,Female,Researcher,9.02,70,7.39,4.61,10,4,90,10,High,Medium,High,30-50
49,Male,Freelancer,8.13,119,6.82,5.73,10,3,50,9.63,High,Medium,High,30-50
24,Male,Teacher,1.69,92,5.24,7.36,4.11,1,80,5.09,Low,Low,Low,Under 30
39,Female,Software Engineer,7.3,40,6.04,6.03,8.76,2,11,7.96,High,Medium,Low,30-50
45,Female,Software Engineer,5.85,59,7.9,5.6,7.92,1,11,7.27,Medium,Medium,Low,30-50
19,Female,Manager,1.93,43,5.2,10,1,0,98,1.78,Low,Low,None,Under 30
59,Other,Software Engineer,6.08,32,4.64,5.91,9.63,2,119,10,High,Low,Low,50+
23,Male,Software Engineer,2.73,65,5.54,7.04,3.84,1,91,2.02,Low,Low,Low,Under 30
45,Male,Student,7.37,81,7.97,5.66,9.98,4,29,10,High,Medium,High,30-50
45,Female,Designer,3.51,109,8.42,5.62,6.77,0,26,6.28,Medium,High,None,30-50
37,Female,Manager,2.35,22,6.07,8.81,1.03,0,42,2.44,Low,Medium,None,30-50
47,Male,Manager,1.74,63,7.91,7.75,2.57,2,95,1,Low,Medium,Low,30-50
28,Male,Student,5.42,5,5.66,6.61,7.38,3,57,6.76,Medium,Low,High,Under 30
45,Female,Teacher,2.8,62,6.54,7.43,3.37,0,52,2.32,Low,Medium,None,30-50
42,Male,Student,8.7,42,4.1,3.87,10,1,101,9.91,High,Low,Low,30-50
56,Female,Manager,1.03,24,7.56,7.89,3.34,4,103,3.5,Low,Medium,High,50+
50,Male,Teacher,8.59,82,7.59,3.78,10,2,5,10,High,Medium,Low,30-50
18,Male,Manager,5.69,7,4.5,9.19,5.63,3,94,6.71,Medium,Low,High,Under 30
44,Male,Doctor,9.3,116,5.79,2.76,10,4,116,10,High,Low,High,30-50
30,Female,Teacher,2.84,36,6.42,9.77,1,3,0,1,Low,Medium,High,30-50
58,Female,Manager,1.92,89,7.87,8.2,2.15,2,42,3.47,Low,Medium,Low,50+
20,Female,Student,6.62,92,8.12,4.92,9.76,2,20,10,High,High,Low,Under 30
56,Female,Manager,7.36,58,7.6,4.8,9.59,3,75,10,High,Medium,High,50+
23,Male,Student,4.35,27,5.08,7.48,6.43,0,11,6.18,Medium,Low,None,Under 30
25,Male,Teacher,1.12,52,5.78,10,1,2,119,1.57,Low,Low,Low,Under 30
44,Female,Student,4.66,119,5.24,4.34,9.22,3,100,9.2,Medium,Low,High,30-50
26,Female,Teacher,3.1,70,7.19,6.96,4.55,0,45,3.89,Medium,Medium,None,Under 30
54,Female,Software Engineer,4.13,54,7.24,7.94,4.13,0,85,4.16,Medium,Medium,None,50+
50,Female,Designer,5.56,35,4.08,6.51,6.48,2,37,5.63,Medium,Low,Low,30-50
59,Male,Freelancer,7.32,61,7.66,5.46,8.39,1,50,8.5,High,Medium,Low,50+
41,Male,Teacher,9.67,14,5.15,2.71,10,3,79,10,High,Low,High,30-50
32,Female,Freelancer,2.3,53,8.01,8.17,4.45,4,75,3.89,Low,High,High,30-50
49,Male,Researcher,7.12,60,8.16,5.9,10,1,102,9.36,High,High,Low,30-50
49,Male,Freelancer,3.1,96,7.98,6.74,5.66,0,44,7.24,Medium,Medium,None,30-50
41,Female,Software Engineer,2.99,53,6.04,7.33,4.76,4,13,4.54,Low,Medium,High,30-50
58,Male,Software Engineer,6.7,68,5.74,6.76,7.43,1,8,6.82,High,Low,Low,50+
29,Female,Software Engineer,7.98,28,6.18,6.14,8.26,0,1,7.55,High,Medium,None,Under 30
56,Male,Freelancer,9.8,80,6.64,4.16,10,4,28,8.05,High,Medium,High,50+
19,Female,Software Engineer,7.92,108,5.25,6.36,8.92,4,60,10,High,Low,High,Under 30
20,Female,Teacher,2.42,26,8.66,8.04,2.47,0,34,2.9,Low,High,None,Under 30
54,Female,Freelancer,3.03,80,6.52,7.16,6.73,2,85,5.95,Medium,Medium,Low,50+
34,Male,Freelancer,7.85,114,4.37,5.91,10,0,68,10,High,Low,None,30-50
19,Male,Researcher,5.74,67,8.99,5.62,8.83,3,4,8.99,Medium,High,High,Under 30
19,Male,Student,3.66,112,6.42,8.22,3.09,0,43,2.99,Medium,Medium,None,Under 30
45,Male,Software Engineer,5.25,11,8.73,7.1,5.55,3,49,5.97,Medium,High,High,30-50
40,Female,Doctor,9.23,22,5.95,6.2,8.88,4,54,9.91,High,Low,High,30-50
54,Male,Software Engineer,7.8,49,5.12,6.06,10,0,83,9.66,High,Low,None,50+
49,Male,Researcher,5.06,74,7.68,5.41,6.8,1,96,8.8,Medium,Medium,Low,30-50
50,Male,Student,9.82,99,6.16,3.85,10,0,43,9.16,High,Medium,None,30-50
18,Female,Student,8.15,75,8.41,5.14,10,2,68,10,High,High,Low,Under 30
36,Male,Designer,1.05,72,6.32,8.8,1.75,0,61,2.27,Low,Medium,None,30-50
19,Female,Designer,2.01,87,5.69,9.71,1,0,6,1,Low,Low,None,Under 30
43,Female,Freelancer,5.99,81,8.83,6.3,8.27,4,68,9.88,Medium,High,High,30-50
49,Female,Software Engineer,4.15,26,8.15,7.37,7.16,2,0,8.59,Medium,High,Low,30-50
23,Female,Software Engineer,8.31,58,5.03,3.81,10,0,82,10,High,Low,None,Under 30
49,Male,Manager,9.06,8,6.44,5.42,9.93,1,72,9.91,High,Medium,Low,30-50
21,Female,Freelancer,3.17,32,4.57,7.36,5.88,4,80,6.17,Medium,Low,High,Under 30
28,Female,Manager,7.87,69,4.54,4.07,10,3,38,10,High,Low,High,Under 30
34,Female,Designer,5.82,50,8.27,6.16,6.62,2,8,5.84,Medium,High,Low,30-50
55,Female,Software Engineer,4.53,96,8.66,4.71,10,2,51,10,Medium,High,Low,50+
41,Male,Manager,8.08,39,7.69,3.29,10,4,79,10,High,Medium,High,30-50
22,Male,Doctor,6.08,5,8.95,7.15,7.44,3,82,6.36,High,High,High,Under 30
51,Female,Teacher,6.72,3,4.23,9,4.13,4,110,2.02,High,Low,High,50+
23,Female,Designer,1.56,2,5.66,10,1.85,2,77,1.04,Low,Low,Low,Under 30
39,Male,Designer,6.27,12,4.66,5.8,7.37,4,99,6.6,High,Low,High,30-50
28,Male,Student,3.71,25,7.91,8.6,3.39,4,35,3.03,Medium,Medium,High,Under 30
33,Male,Software Engineer,5.44,33,8.45,9.44,3.39,4,43,3.85,Medium,High,High,30-50
50,Female,Designer,3,76,6.24,6.75,3.45,2,66,3.13,Medium,Medium,Low,30-50
26,Female,Designer,6.53,52,8.15,4.59,8.72,0,25,9.07,High,High,None,Under 30
23,Female,Researcher,2.33,46,8.24,8.68,2.64,3,110,1.16,Low,High,High,Under 30
33,Male,Manager,2.11,7,4.7,10,1,2,10,3.66,Low,Low,Low,30-50
46,Male,Doctor,2.7,75,5.88,7.73,2.33,0,42,2.75,Low,Low,None,30-50
20,Male,Freelancer,8.36,7,4.94,5.66,9.94,3,27,10,High,Low,High,Under 30
37,Male,Software Engineer,1.3,18,7.35,8.57,4.49,4,39,4.19,Low,Medium,High,30-50
53,Female,Researcher,7.57,104,5.94,3.5,10,0,106,8.36,High,Low,None,50+
36,Male,Teacher,1.51,73,7.34,7.36,4.6,1,118,4.08,Low,Medium,Low,30-50
43,Female,Doctor,6.33,31,8.38,6.16,8.11,3,10,7.06,High,High,High,30-50
20,Female,Teacher,7.96,20,6.06,7.62,7.8,0,11,6.14,High,Medium,None,Under 30
36,Female,Student,3.08,63,8.86,4.89,7.04,3,41,6.58,Medium,High,High,30-50
37,Male,Designer,2.76,22,6.04,10,1.62,4,90,1.33,Low,Medium,High,30-50
49,Male,Manager,3.6,90,5.07,7.74,3.54,1,75,2.78,Medium,Low,Low,30-50
24,Male,Doctor,7.3,88,6.65,4.57,10,0,32,10,High,Medium,None,Under 30
58,Female,Researcher,3.29,70,6,7.73,3.38,2,4,3.94,Medium,Medium,Low,50+
50,Female,Teacher,5.52,41,4.63,5.77,7.28,3,20,7.76,Medium,Low,High,30-50
57,Male,Software Engineer,2.21,34,4.12,10,1,0,29,1.11,Low,Low,None,50+
56,Male,Student,5.15,1,7.72,6,7.33,4,32,6.51,Medium,Medium,High,50+
35,Female,Researcher,6.62,91,8.66,3.7,9.46,3,73,8,High,High,High,30-50
57,Female,Freelancer,1.65,70,6.2,8.7,2.58,0,0,2.13,Low,Medium,None,50+
18,Other,Student,8.34,105,4.33,4.22,10,4,28,10,High,Low,High,Under 30
28,Male,Designer,9.44,103,7.7,3.65,10,3,70,9.49,High,Medium,High,Under 30
45,Male,Designer,2.74,75,8.34,7.1,3.02,4,50,3.06,Low,High,High,30-50
42,Male,Teacher,7.83,51,5.62,4.52,10,0,96,9.29,High,Low,None,30-50
40,Male,Teacher,3.82,16,5.11,7.49,6.51,0,64,6.29,Medium,Low,None,30-50
48,Female,Student,7.09,85,5.69,6.24,9.32,2,94,9.38,High,Low,Low,30-50
47,Male,Teacher,3.76,8,8.54,9.27,3.94,4,47,3.62,Medium,High,High,30-50
59,Male,Designer,8.76,51,6.09,5.68,9.58,3,32,7.9,High,Medium,High,50+
52,Female,Student,4.12,2,7.27,7.29,5.81,3,2,4.2,Medium,Medium,High,50+
24,Male,Student,8.64,21,4.37,4.16,9.94,2,94,10,High,Low,Low,Under 30
33,Female,Freelancer,7.9,53,5.41,6.97,7.15,1,65,5.93,High,Low,Low,30-50
43,Male,Software Engineer,2.77,35,5.14,6.4,6.45,2,17,6.28,Low,Low,Low,30-50
19,Female,Software Engineer,2.41,38,4.31,7.94,2.53,3,103,2.19,Low,Low,High,Under 30
18,Male,Teacher,8.02,17,4.6,5.88,9.47,4,17,8.83,High,Low,High,Under 30
29,Female,Researcher,4.51,80,6.08,9.61,3.35,2,87,3.67,Medium,Medium,Low,Under 30
22,Male,Teacher,9.54,26,6.79,4.81,9.86,4,95,10,High,Medium,High,Under 30
54,Male,Researcher,9.49,117,5.56,4,10,1,87,10,High,Low,Low,50+
49,Female,Designer,7.24,98,6.1,5.29,10,3,72,10,High,Medium,High,30-50
26,Male,Researcher,5.51,95,7.8,6.98,8.75,1,11,9.54,Medium,Medium,Low,Under 30
58,Male,Designer,2.75,66,5.24,8.46,4.13,4,26,4.01,Low,Low,High,50+
52,Female,Software Engineer,8.94,12,4.17,5.96,10,1,58,10,High,Low,Low,50+
36,Female,Student,1.74,16,5.28,9.24,2.19,0,102,3.63,Low,Low,None,30-50
33,Male,Doctor,4.33,60,8.61,7.6,5.83,4,68,4.65,Medium,High,High,30-50
20,Male,Manager,3.87,17,4.09,7.46,5.4,2,34,7.07,Medium,Low,Low,Under 30
37,Male,Manager,9.63,114,4.64,1,10,4,25,10,High,Low,High,30-50
41,Male,Freelancer,2.06,16,4.33,8.03,4.06,2,9,5.62,Low,Low,Low,30-50
50,Other,Doctor,9.01,55,5.88,5.12,10,1,73,10,High,Low,Low,30-50
41,Female,Researcher,5.11,47,7.24,6.01,7.33,3,51,7.74,Medium,Medium,High,30-50
28,Male,Freelancer,1.43,15,8.55,8.97,1,0,2,1.25,Low,High,None,Under 30
25,Other,Teacher,7.56,85,7.97,4.56,7.76,1,76,8.1,High,Medium,Low,Under 30
53,Female,Manager,1.91,24,5.25,8.29,2.26,4,85,2.03,Low,Low,High,50+
55,Female,Freelancer,3.13,64,7.17,8.05,5.02,3,20,4.21,Medium,Medium,High,50+
57,Male,Manager,8.2,26,7.32,5.68,10,2,33,10,High,Medium,Low,50+
37,Male,Doctor,2.39,13,4.45,8.59,2.9,4,53,4.17,Low,Low,High,30-50
52,Female,Freelancer,3.93,91,6.14,4.23,8.93,1,116,10,Medium,Medium,Low,50+
42,Male,Doctor,4.25,110,5.56,4.35,9.05,1,25,7.98,Medium,Low,Low,30-50
52,Male,Software Engineer,6.3,99,4.79,5.75,10,3,9,8.49,High,Low,High,50+
42,Male,Student,8.11,115,4.29,3.01,10,4,107,10,High,Low,High,30-50
46,Male,Designer,3.08,116,4.14,7.2,3.93,4,19,3.06,Medium,Low,High,30-50
35,Female,Researcher,2.85,106,8.29,6.27,5.98,2,54,5.74,Low,High,Low,30-50
35,Female,Software Engineer,3,49,5.65,7.11,5.29,1,80,5.34,Medium,Low,Low,30-50
19,Male,Manager,4.43,95,6.47,4.55,8.43,0,87,8.53,Medium,Medium,None,Under 30
52,Male,Designer,5.82,28,5.46,6.49,7.62,1,96,7.08,Medium,Low,Low,50+
33,Female,Software Engineer,1.12,80,4.83,6.12,6.37,0,106,7.22,Low,Low,None,30-50
58,Male,Software Engineer,8.02,27,5.31,4.46,10,3,79,10,High,Low,High,50+
53,Female,Doctor,9.34,104,4.85,3.11,10,3,46,10,High,Low,High,50+
50,Female,Designer,8.59,20,7.79,5.94,9.31,1,100,9.32,High,Medium,Low,30-50
21,Male,Software Engineer,1.33,23,8.54,9.18,1,1,48,1.94,Low,High,Low,Under 30
50,Female,Doctor,5.72,45,6.17,6.29,6.75,0,97,7.48,Medium,Medium,None,30-50
31,Female,Teacher,8.33,59,8.11,5.6,10,1,106,10,High,High,Low,30-50
38,Male,Designer,4.1,98,6.13,5.67,6.99,3,61,6.41,Medium,Medium,High,30-50
37,Male,Researcher,9.07,19,6.23,5.41,10,3,7,10,High,Medium,High,30-50
25,Other,Freelancer,8.98,51,6.43,3.59,10,2,14,10,High,Medium,Low,Under 30
24,Male,Software Engineer,2.28,21,8.1,8.33,2.9,0,12,2.26,Low,High,None,Under 30
20,Female,Manager,5.44,67,8.68,5.34,9.57,4,24,10,Medium,High,High,Under 30
34,Female,Teacher,1.23,15,7.72,9.26,2.13,1,44,1.69,Low,Medium,Low,30-50
50,Male,Doctor,3.54,20,8.44,8.31,2.89,3,48,2.21,Medium,High,High,30-50
29,Male,Software Engineer,8.31,43,7.21,5.71,10,0,41,9.76,High,Medium,None,Under 30
39,Female,Manager,9.78,61,8.2,3.54,10,2,27,10,High,High,Low,30-50
39,Male,Doctor,9.22,20,6.78,5.64,10,0,60,9.83,High,Medium,None,30-50
47,Female,Doctor,1.38,103,7.86,7.8,3.26,1,38,3.93,Low,Medium,Low,30-50
55,Female,Freelancer,9.34,104,7.53,3.16,10,4,115,8.26,High,Medium,High,50+
